"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","stroop_Coef","stroop_Tstat","stroop-rest_GLT_Coef","stroop-rest_GLT_Tstat"
"oxy",1,0.327392,22.42865,-0.282237,-28.04165,-0.282237,-28.04165
"doxy",1,0.499976,63.00221,0.066752,12.1991,0.066752,12.1991
"oxy",9,-0.20918,-29.66126,0.141553,29.11026,0.141553,29.11026
"doxy",9,0.324979,29.6742,-0.219021,-29.00447,-0.219021,-29.00447
"oxy",2,0.083805,6.664753,-0.19032,-21.95105,-0.19032,-21.95105
"doxy",2,0.20947,50.98181,0.06013,21.22457,0.06013,21.22457
"oxy",10,-0.097637,-24.46994,0.061746,22.44331,0.061746,22.44331
"doxy",10,0.152772,24.61672,-0.097136,-22.6998,-0.097136,-22.6998
"oxy",3,-0.286356,-57.65168,0.035929,10.4907,0.035929,10.4907
"doxy",3,0.442073,57.58537,-0.05797,-10.95166,-0.05797,-10.95166
"oxy",11,0.00749,2.302539,0.04478,19.96608,0.04478,19.96608
"doxy",11,-0.009014,-1.782255,-0.068901,-19.75771,-0.068901,-19.75771
"oxy",4,-0.203364,-47.82048,0.025413,8.666553,0.025413,8.666553
"doxy",4,0.314336,47.91252,-0.042323,-9.355849,-0.042323,-9.355849
"oxy",12,0.051338,5.289662,-0.019816,-2.961142,-0.019816,-2.961142
"doxy",12,-0.01982,-6.404957,0.016557,7.760009,0.016557,7.760009
"oxy",5,-0.087948,-24.42537,0.042821,17.24769,0.042821,17.24769
"doxy",5,0.14762,25.60031,-0.070637,-17.76592,-0.070637,-17.76592
"oxy",13,-0.014636,-4.869692,0.008831,4.261441,0.008831,4.261441
"doxy",13,0.049211,7.617154,-0.043366,-9.735024,-0.043366,-9.735024
"oxy",6,0.081801,5.577155,-0.215423,-21.30107,-0.215423,-21.30107
"doxy",6,0.187988,28.0048,0.058485,12.63583,0.058485,12.63583
"oxy",14,0.040477,4.503154,-0.118504,-19.12058,-0.118504,-19.12058
"doxy",14,0.006519,2.060454,-0.004316,-1.978601,-0.004316,-1.978601
"oxy",7,-0.117234,-27.63194,0.087516,29.91596,0.087516,29.91596
"doxy",7,0.182885,28.00053,-0.135418,-30.06905,-0.135418,-30.06905
"oxy",15,0.032118,2.645191,-0.167914,-20.05632,-0.167914,-20.05632
"doxy",15,0.070523,17.69708,0.059094,21.50634,0.059094,21.50634
"oxy",8,0.186875,11.28679,-0.321449,-28.15701,-0.321449,-28.15701
"doxy",8,0.230433,39.38484,-0.0791,-19.60715,-0.0791,-19.60715
"oxy",16,0.141551,16.7155,-0.196475,-33.64862,-0.196475,-33.64862
"doxy",16,0.189231,45.9367,-0.004717,-1.660842,-0.004717,-1.660842
